dem_req_rate,req_rate_wsmt2m.elasticbeanstalk.com,con_rate_wsmt2m.elasticbeanstalk.com,min_rep_rate_wsmt2m.elasticbeanstalk.com,avg_rep_rate_wsmt2m.elasticbeanstalk.com,max_rep_rate_wsmt2m.elasticbeanstalk.com,stddev_rep_rate_wsmt2m.elasticbeanstalk.com,resp_time_wsmt2m.elasticbeanstalk.com,net_io_wsmt2m.elasticbeanstalk.com,errors_wsmt2m.elasticbeanstalk.com
20,20.0,20.0,0.0,18.2,20.4,5.7,46.5,16.0,9.99083409715857
30,30.0,30.0,29.4,30.0,30.6,0.2,66.6,27.9,0
40,40.0,40.0,38.8,40.0,40.8,0.3,93.3,37.2,0
50,49.7,49.7,0.0,7.2,50.6,16.6,389.6,9.4,587.442713107241
