dem_req_rate,req_rate_wsmt2m.elasticbeanstalk.com,con_rate_wsmt2m.elasticbeanstalk.com,min_rep_rate_wsmt2m.elasticbeanstalk.com,avg_rep_rate_wsmt2m.elasticbeanstalk.com,max_rep_rate_wsmt2m.elasticbeanstalk.com,stddev_rep_rate_wsmt2m.elasticbeanstalk.com,resp_time_wsmt2m.elasticbeanstalk.com,net_io_wsmt2m.elasticbeanstalk.com,errors_wsmt2m.elasticbeanstalk.com
20,20.0,20.0,0.0,18.3,24.4,5.0,177.4,80.5,8.8929219600726
30,30.0,30.0,29.2,30.0,30.4,0.3,63.4,131.2,0
40,39.8,39.8,0.0,36.6,41.5,9.0,203.7,158.4,10.1928374655647
50,49.7,49.7,0.0,5.9,50.3,15.0,311.5,13.0,737.520938023451
