dem_req_rate,req_rate_wsmt4m.elasticbeanstalk.com,con_rate_wsmt4m.elasticbeanstalk.com,min_rep_rate_wsmt4m.elasticbeanstalk.com,avg_rep_rate_wsmt4m.elasticbeanstalk.com,max_rep_rate_wsmt4m.elasticbeanstalk.com,stddev_rep_rate_wsmt4m.elasticbeanstalk.com,resp_time_wsmt4m.elasticbeanstalk.com,net_io_wsmt4m.elasticbeanstalk.com,errors_wsmt4m.elasticbeanstalk.com
40,40.0,40.0,0.0,36.4,40.6,11.3,58.8,144.7,9.8800476146873
60,60.0,60.0,58.7,60.0,61.4,0.5,70.6,262.3,0
80,80.0,80.0,77.2,80.0,81.6,0.6,101.7,349.7,0
100,99.3,99.3,0.0,12.3,100.0,30.4,319.5,27.1,721.018062397373
