dem_req_rate,req_rate_wsmt4m.elasticbeanstalk.com,con_rate_wsmt4m.elasticbeanstalk.com,min_rep_rate_wsmt4m.elasticbeanstalk.com,avg_rep_rate_wsmt4m.elasticbeanstalk.com,max_rep_rate_wsmt4m.elasticbeanstalk.com,stddev_rep_rate_wsmt4m.elasticbeanstalk.com,resp_time_wsmt4m.elasticbeanstalk.com,net_io_wsmt4m.elasticbeanstalk.com,errors_wsmt4m.elasticbeanstalk.com
40,40.0,40.0,0.0,12.9,45.0,17.7,275.8,160.0,203.413400758533
60,60.0,60.0,58.8,60.0,61.2,0.4,75.0,951.7,0.0111123458162018
80,79.5,79.5,0.0,18.5,81.6,32.2,294.5,192.1,331.111909466499
100,99.3,99.3,0.0,19.1,129.4,38.9,142.4,33.8,422.102332057083
