dem_req_rate,req_rate_wsmt4m.elasticbeanstalk.com,con_rate_wsmt4m.elasticbeanstalk.com,min_rep_rate_wsmt4m.elasticbeanstalk.com,avg_rep_rate_wsmt4m.elasticbeanstalk.com,max_rep_rate_wsmt4m.elasticbeanstalk.com,stddev_rep_rate_wsmt4m.elasticbeanstalk.com,resp_time_wsmt4m.elasticbeanstalk.com,net_io_wsmt4m.elasticbeanstalk.com,errors_wsmt4m.elasticbeanstalk.com
40,40.0,40.0,0.0,37.7,40.3,9.1,52.4,276.0,6.04453870625663
60,60.0,60.0,58.5,60.0,61.0,0.4,69.8,484.0,0
80,80.0,80.0,77.1,80.0,82.6,1.0,106.6,645.3,0
100,99.3,99.3,0.0,12.5,101.8,30.8,303.6,40.7,706.451612903226
