dem_req_rate,req_rate_wsmt4m.elasticbeanstalk.com,con_rate_wsmt4m.elasticbeanstalk.com,min_rep_rate_wsmt4m.elasticbeanstalk.com,avg_rep_rate_wsmt4m.elasticbeanstalk.com,max_rep_rate_wsmt4m.elasticbeanstalk.com,stddev_rep_rate_wsmt4m.elasticbeanstalk.com,resp_time_wsmt4m.elasticbeanstalk.com,net_io_wsmt4m.elasticbeanstalk.com,errors_wsmt4m.elasticbeanstalk.com
40,40.0,40.0,0.0,33.1,40.3,14.7,47.1,53.8,20.3973111267182
60,60.0,60.0,35.3,59.5,76.6,4.6,102.4,103.8,0.783874580067189
80,80.0,80.0,77.6,80.0,82.6,0.8,93.8,139.4,0
100,99.3,99.3,0.0,18.8,114.3,37.8,361.4,30.3,428.169014084507
