dem_req_rate,req_rate_wsmt4m.elasticbeanstalk.com,con_rate_wsmt4m.elasticbeanstalk.com,min_rep_rate_wsmt4m.elasticbeanstalk.com,avg_rep_rate_wsmt4m.elasticbeanstalk.com,max_rep_rate_wsmt4m.elasticbeanstalk.com,stddev_rep_rate_wsmt4m.elasticbeanstalk.com,resp_time_wsmt4m.elasticbeanstalk.com,net_io_wsmt4m.elasticbeanstalk.com,errors_wsmt4m.elasticbeanstalk.com
40,40.0,40.0,0.0,29.5,40.9,17.4,78.2,26.7,34.9679451130357
60,60.0,60.0,58.2,60.0,60.6,0.4,74.9,55.8,0.0111123458162018
80,80.0,80.0,77.4,80.0,81.6,0.6,93.1,74.3,0
100,99.3,99.3,0.0,22.3,100.8,39.7,323.1,24.9,346.096654275093
