media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
2;1;3;1;4;22;21,9;21,6;21,9;22,6;0,4;118,9;91,1;0;6;30,000
3;1;3;1;4;20;19,9;19,2;19,8;20,6;0,5;160,6;3119,2;0;6;30,000
3;1;3;1;4;20;19,9;19,2;19,8;20,2;0,4;116,9;3115,8;0;6;30,000
3;1;3;1;4;20;19,9;19,3;19,8;20,1;0,3;129,7;3118,0;0;6;30,000
1;1;1;0;0;22;21,9;21,1;21,8;22,6;0,5;112,7;187,7;0;6;30,000
1;1;2;1;0;22;21,9;21,1;21,9;22,6;0,5;118,5;95,9;0;6;30,000
1;1;2;1;0;22;21,9;21,0;21,9;22,8;0,6;116,5;95,9;0;6;30,000
2;1;1;0;0;22;22,0;21,6;21,9;22,2;0,3;107,2;348,3;0;6;30,000
3;1;2;1;0;20;19,8;19,2;19,8;20,0;0,3;109,5;3219,4;0;6;30,000
2;1;2;1;0;22;21,9;21,6;21,8;22,0;0,2;119,7;177,1;0;6;30,000
1;1;3;1;4;22;22,0;21,1;21,8;22,8;0,6;112,8;51,2;0;6;30,000
3;1;2;1;0;20;19,9;19,3;19,9;20,2;0,3;120,3;3223,8;0;6;30,000
2;1;2;1;0;22;22,0;21,1;21,8;22,6;0,6;115,1;177,1;0;6;30,000
1;1;2;1;0;22;21,9;21,5;21,9;22,4;0,3;115,1;95,9;0;6;30,000
2;1;1;0;0;22;21,9;21,2;21,9;22,2;0,4;116,8;347,3;0;6;30,000
2;1;2;1;0;22;21,9;21,3;21,8;22,2;0,4;114,2;176,9;0;6;30,000
3;1;1;0;0;20;19,9;18,8;19,8;20,5;0,6;112,6;3444,0;0;6;30,000
1;1;1;0;0;22;22,0;21,4;21,7;22,2;0,3;112,4;187,8;0;6;30,000
1;1;3;1;4;22;22,0;21,3;21,8;22,2;0,4;111,7;51,3;0;6;30,000
3;1;2;1;0;20;19,9;19,3;19,8;20,0;0,3;116,1;3223,5;0;6;30,000
2;1;3;1;4;22;21,9;21,5;21,9;22,6;0,4;112,8;91,0;0;6;30,000
3;1;2;1;0;20;19,9;18,8;19,8;20,4;0,5;131,5;3224,1;0;6;30,000
1;1;1;0;0;22;22,0;20,7;21,9;22,8;0,8;108,4;187,9;0;6;30,000
3;1;2;1;0;20;19,9;18,6;19,9;20,4;0,7;118,3;3232,8;0;6;30,000
1;1;2;1;0;22;21,9;21,2;21,9;22,4;0,4;120,5;95,8;0;6;30,000
3;1;1;0;0;20;19,9;19,2;19,9;20,6;0,5;117,1;3442,5;0;6;30,000
1;1;1;0;0;22;21,9;21,0;21,9;22,8;0,8;109,1;187,4;0;6;30,000
3;1;1;0;0;20;19,9;19,2;19,9;20,2;0,4;118,4;3438,0;0;6;30,000
2;1;2;1;0;22;22,0;21,2;21,9;22,4;0,5;113,9;177,1;0;6;30,000
3;1;1;0;0;20;18,8;13,3;18,7;20,2;2,6;174,1;3102,9;4,52961672473868;6;30,000
1;1;3;1;4;22;22,0;21,0;21,9;22,6;0,6;122,4;51,2;0;6;30,000
3;1;1;0;0;20;19,9;19,4;19,9;20,2;0,3;115,2;3440,4;0;6;30,000
1;1;3;1;4;22;21,9;21,6;21,9;22,6;0,4;116,6;51,1;0;6;30,000
2;1;2;1;0;22;21,9;21,0;21,9;22,8;0,7;115,0;176,8;0;6;30,000
2;1;3;1;4;22;21,9;21,1;21,9;23,0;0,6;109,5;91,0;0;6;30,000
2;1;3;1;4;22;21,9;21,4;21,9;22,6;0,4;122,0;91,1;0;6;30,000
