media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
2;2;1;0;0;50;49,7;0,0;5,4;56,1;14,9;229,9;19,6;840,438871473354;59;300,000
1;2;3;1;4;20;20,0;0,0;18,9;20,4;4,5;50,7;40,5;5,74550581600282;59;300,000
1;2;3;1;4;30;30,0;29,2;30,0;30,6;0,3;66,6;70,0;0;59;300,000
1;2;3;1;4;40;40,0;38,9;40,0;41,2;0,4;95,6;93,3;0;59;300,000
1;2;3;1;4;50;49,7;0,0;9,0;54,8;18,4;364,3;17,1;451,876379690949;59;300,000
1;2;2;1;0;20;20,0;0,0;18,3;24,4;5,0;177,4;80,5;8,8929219600726;59;300,000
1;2;2;1;0;30;30,0;29,2;30,0;30,4;0,3;63,4;131,2;0;59;300,000
1;2;2;1;0;40;39,8;0,0;36,6;41,5;9,0;203,7;158,4;10,1928374655647;59;300,000
1;2;2;1;0;50;49,7;0,0;5,9;50,3;15,0;311,5;13,0;737,520938023451;59;300,000
3;2;2;1;0;20;20,0;0,0;18,6;20,8;5,1;60,7;2724,8;7,52688172043011;59;300,000
3;2;2;1;0;30;30,0;29,0;30,0;31,2;0,4;83,4;4863,2;0;59;300,000
3;2;2;1;0;40;39,7;0,0;10,9;43,1;16,9;350,5;1168,8;271,057513914657;59;300,000
3;2;2;1;0;50;49,7;0,0;9,7;68,3;19,5;154,9;130,6;419,031141868512;59;300,000
