media_type;environment;resource_data;sub_resource_day;sub_resource_daytime;request_rate_demanded;request_rate;min_reply_rate;avg_reply_rate;max_reply_rate;stddev_reply_rate;avg_response_time;avg_net_io;error_rate;sample_count_reply_rate;duration
1;1;1;0;0;22;22,0;21,4;21,9;22,6;0,5;104,4;187,9;0;6;30,000
1;1;3;1;4;22;20,8;6,7;18,4;22,4;6,1;288,2;41,8;17,2291296625222;6;30,000
3;1;1;0;0;20;19,9;19,1;19,8;20,2;0,4;115,2;3432,2;0;6;30,000
1;1;3;1;4;22;21,9;21,6;21,9;22,4;0,3;103,8;51,2;0;6;30,000
2;1;1;0;0;22;22,0;21,4;21,9;22,6;0,4;110,9;348,3;0;6;30,000
3;1;1;0;0;20;19,9;19,0;19,9;20,2;0,4;110,4;3432,1;0;6;30,000
2;1;3;1;4;22;21,9;21,8;21,9;22,4;0,2;107,2;91,1;0;6;30,000
1;1;1;0;0;22;22,0;21,1;21,8;22,6;0,6;110,4;187,8;0;6;30,000
3;1;3;1;4;20;19,8;18,8;19,9;20,4;0,6;112,7;3106,0;0;6;30,000
3;1;3;1;4;20;19,9;18,6;19,8;20,6;0,7;121,2;3112,2;0;6;30,000
3;1;3;1;4;20;19,9;19,2;19,9;20,4;0,4;114,4;3119,4;0;6;30,000
1;1;1;0;0;22;22,0;21,0;21,8;22,6;0,6;108,3;187,9;0;6;30,000
1;1;1;0;0;22;22,0;21,5;21,9;22,6;0,5;113,1;187,9;0;6;30,000
3;1;3;1;4;20;19,9;19,3;19,9;20,4;0,4;111,9;3107,7;0;6;30,000
1;1;2;1;0;22;22,0;21,4;21,9;22,4;0,4;119,4;96,0;0;6;30,000
1;1;2;1;0;22;22,0;21,3;21,9;22,6;0,5;109,7;96,0;0;6;30,000
2;1;2;1;0;22;22,0;21,5;21,9;22,6;0,4;112,5;177,2;0;6;30,000
1;1;1;0;0;22;21,9;21,0;21,8;22,4;0,5;112,1;187,7;0;6;30,000
2;1;1;0;0;22;21,9;21,0;21,9;22,6;0,5;110,2;348,1;0;6;30,000
3;1;2;1;0;20;19,9;18,1;19,9;21,2;1,0;115,8;3221,1;0;6;30,000
2;1;2;1;0;22;21,9;21,4;21,9;22,4;0,4;106,0;177,0;0;6;30,000
1;1;3;1;4;22;21,7;0,0;5,7;20,2;9,0;1120,7;17,1;235,02538071066;6;30,000
3;1;2;1;0;20;19,8;19,2;19,8;20,4;0,5;106,3;3217,6;0;6;30,000
2;1;2;1;0;22;22,0;21,0;21,9;22,4;0,5;107,8;177,2;0;6;30,000
1;1;1;0;0;22;21,9;21,4;21,8;22,4;0,4;108,1;187,5;0;6;30,000
1;1;3;1;4;22;22,0;21,4;21,9;22,4;0,4;110,2;51,2;0;6;30,000
1;1;2;1;0;22;21,9;21,1;21,8;22,2;0,4;115,6;95,8;0;6;30,000
2;1;3;1;4;22;21,9;21,6;21,8;22,5;0,3;113,4;90,9;0;6;30,000
3;1;2;1;0;20;19,9;19,0;19,9;20,6;0,6;112,3;3231,7;0;6;30,000
1;1;2;1;0;22;21,9;20,8;22,0;23,1;1,0;129,1;95,9;0;6;30,000
1;1;3;1;4;22;21,9;21,5;21,9;22,6;0,4;133,2;51,2;0;6;30,000
3;1;3;1;4;20;19,9;18,8;19,9;20,6;0,6;107,5;3111,3;0;6;30,000
1;1;2;1;0;22;22,0;21,4;21,8;22,6;0,5;109,2;96,0;0;6;30,000
3;1;3;1;4;20;19,9;18,2;19,9;21,4;1,1;130,6;3113,4;0;6;30,000
2;1;1;0;0;22;21,9;20,6;21,8;23,0;0,9;112,1;348,2;0;6;30,000
2;1;3;1;4;22;21,9;21,2;21,9;22,2;0,4;115,5;91,0;0;6;30,000
1;1;3;1;4;22;22,0;21,2;21,9;22,6;0,5;109,7;51,2;0;6;30,000
1;1;2;1;0;22;22,0;21,5;21,9;22,4;0,4;110,1;96,0;0;6;30,000
2;1;2;1;0;22;21,9;21,4;21,9;22,2;0,3;112,4;177,1;0;6;30,000
3;1;1;0;0;20;19,8;19,2;19,9;20,2;0,3;108,1;3428,9;0;6;30,000
1;1;1;0;0;22;21,9;21,0;21,9;22,4;0,5;114,7;187,6;0;6;30,000
