dem_req_rate,req_rate_wsmt2m.elasticbeanstalk.com,con_rate_wsmt2m.elasticbeanstalk.com,min_rep_rate_wsmt2m.elasticbeanstalk.com,avg_rep_rate_wsmt2m.elasticbeanstalk.com,max_rep_rate_wsmt2m.elasticbeanstalk.com,stddev_rep_rate_wsmt2m.elasticbeanstalk.com,resp_time_wsmt2m.elasticbeanstalk.com,net_io_wsmt2m.elasticbeanstalk.com,errors_wsmt2m.elasticbeanstalk.com
20,20.0,20.0,0.0,19.1,20.4,3.9,47.2,275.7,4.47501305937663
30,30.0,30.0,29.5,30.0,30.6,0.2,61.2,475.9,0
40,39.7,39.7,7.5,39.1,41.2,5.0,109.8,619.2,1.79843909060061
50,49.7,49.7,0.0,5.4,56.1,14.9,229.9,19.6,840.438871473354
