dem_req_rate,req_rate_wsmt4m.elasticbeanstalk.com,con_rate_wsmt4m.elasticbeanstalk.com,min_rep_rate_wsmt4m.elasticbeanstalk.com,avg_rep_rate_wsmt4m.elasticbeanstalk.com,max_rep_rate_wsmt4m.elasticbeanstalk.com,stddev_rep_rate_wsmt4m.elasticbeanstalk.com,resp_time_wsmt4m.elasticbeanstalk.com,net_io_wsmt4m.elasticbeanstalk.com,errors_wsmt4m.elasticbeanstalk.com
40,40.0,40.0,0.0,33.5,41.0,14.6,52.3,4640.4,19.2131929266839
60,60.0,60.0,58.0,60.0,61.8,0.5,71.7,9213.7,0
80,80.0,80.0,76.6,80.0,82.7,0.9,109.0,12283.0,0.00416684028501188
100,99.3,99.3,0.0,12.2,101.2,30.3,314.2,500.3,728.043058239028
