dem_req_rate,req_rate_wsmt2m.elasticbeanstalk.com,con_rate_wsmt2m.elasticbeanstalk.com,min_rep_rate_wsmt2m.elasticbeanstalk.com,avg_rep_rate_wsmt2m.elasticbeanstalk.com,max_rep_rate_wsmt2m.elasticbeanstalk.com,stddev_rep_rate_wsmt2m.elasticbeanstalk.com,resp_time_wsmt2m.elasticbeanstalk.com,net_io_wsmt2m.elasticbeanstalk.com,errors_wsmt2m.elasticbeanstalk.com
20,20.0,20.0,19.6,20.0,20.4,0.2,44.7,171.1,0
30,30.0,30.0,28.9,30.0,30.8,0.3,71.5,256.5,0
40,40.0,40.0,38.8,40.0,41.4,0.6,112.0,342.1,0
50,49.7,49.7,0.0,6.2,53.8,15.6,321.4,21.0,708.189655172414
